model	task	solved	seconds
google/gemma-4-26b-a4b-it	bugfix_median	1	31.0
google/gemma-4-26b-a4b-it	fizzbuzz	1	20.9
google/gemma-4-26b-a4b-it	is_prime	1	25.1
google/gemma-4-26b-a4b-it	merge_intervals	1	13.8
google/gemma-4-26b-a4b-it	roman	1	15.9
google/gemma-4-26b-a4b-it	stack	1	19.3
openai/gpt-oss-120b	bugfix_median	1	54.7
openai/gpt-oss-120b	fizzbuzz	1	45.8
openai/gpt-oss-120b	is_prime	1	16.8
openai/gpt-oss-120b	merge_intervals	1	55.3
openai/gpt-oss-120b	roman	1	37.4
openai/gpt-oss-120b	stack	1	21.2
